Query,Dataset,Failure Type,Doc in Top-5
how did the great depression affect germany,ms_marco,Lexical Miss,0
which rhetorical device uses examples,ms_marco,Ranking Error,1
what size is mercury,ms_marco,Ranking Error,1
how to get stronger at home without weights,ms_marco,Ranking Error,1
where is conifer colorado,ms_marco,Ranking Error,1
when was mansa musa born,ms_marco,Ranking Error,1
salary of president obama,ms_marco,Ranking Error,1
surname ethnicity,ms_marco,Lexical Miss,0
does visio require office,ms_marco,Ranking Error,1
number of house of representatives members,ms_marco,Ranking Error,1
how much would it cost for dog training for pups,ms_marco,Ranking Error,1
meaning of dna,ms_marco,Ranking Error,1
what is an urban growth boundary,ms_marco,Ranking Error,1
temperature and time roast chicken,ms_marco,Ranking Error,1
average cost per watt commercial electricity,ms_marco,Ranking Error,1
are animal like protists heterotrophic,ms_marco,Ranking Error,1
what is needed to make glucose in photosynthesis,ms_marco,Ranking Error,1
closing cost on a house estimate,ms_marco,Ranking Error,1
vitamin a is found in what foods,ms_marco,Ranking Error,1
how much does invisalign usually cost,ms_marco,Ranking Error,1
process of using dna to create rna,ms_marco,Ranking Error,1
what is oe car parts,ms_marco,Semantic Miss,0
what is emc testing,ms_marco,Ranking Error,1
what is flaxseed,ms_marco,Ranking Error,1
what is FSH blood test,ms_marco,Semantic Miss,0
what is a gluten allergy,ms_marco,Ranking Error,1
what is consumer capitalism,ms_marco,Ranking Error,1
how long will chorizo keep in the fridge,ms_marco,Lexical Miss,0
what is rhodium plate,ms_marco,Lexical Miss,0
what kind of ulcers are caused by stress,ms_marco,Semantic Miss,0
what physiographic province is granite mine located?,ms_marco,Ranking Error,1
how to get dust out of air ducts,ms_marco,Ranking Error,1
what is the meaning of election,ms_marco,Ranking Error,1
what is dipper pines real name,ms_marco,Ranking Error,1
what is biodegrade mean,ms_marco,Ranking Error,1
diotrephes name meaning,ms_marco,Ranking Error,1
where is the cerebral cortex located,ms_marco,Ranking Error,1
how long it can take to get tax refund back,ms_marco,Lexical Miss,0
what is phosphate buffer,ms_marco,Ranking Error,1
how long do chickens live and lay eggs,ms_marco,Lexical Miss,0
is celery alkaline,ms_marco,Ranking Error,1
are there mountains in chile,ms_marco,Semantic Miss,0
what is the tallest horse,ms_marco,Semantic Miss,0
what is the currency of chad africa,ms_marco,Ranking Error,1
what is misdemeanor battery,ms_marco,Ranking Error,1
how do cats help us,ms_marco,Ranking Error,1
