dataset,query_idx,query_type,system,query,recall@1,recall@3,recall@5,mrr,latency_ms
MS-MARCO,0,exact,dense,walgreens store sales average,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1,exact,dense,how much do bartenders make,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,2,exact,dense,what is a furuncle boil,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,3,exact,dense,what can urinalysis detect,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,4,exact,dense,what is vitamin a used for,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,5,exact,dense,what causes genetic alterations in normal cells,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,6,exact,dense,cost to frame basement,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,7,exact,dense,erudite divergent definition,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,8,exact,dense,why is albumin normally absent in urine,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,9,exact,dense,where was movie the birds filmed,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,10,exact,dense,cost to file bankruptcy in virginia,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,11,exact,dense,what is a hummingbird moth,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,12,exact,dense,what does a western blot detect,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,13,exact,dense,what is vegetable bouillon,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,14,exact,dense,salary sacrifice super limits,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,15,exact,dense,want is tom cruise doing now,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,16,exact,dense,what means irie,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,17,exact,dense,what is baseball twine made of,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,18,exact,dense,What Does Lop means,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,19,exact,dense,how much do tuna fishers first mates make,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,20,exact,dense,how to start gypsophila elegans seeds,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,21,exact,dense,how long to get masters degree,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,22,exact,dense,what is treatment for jaundice,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,23,exact,dense,replacing permanent resident card canada,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,24,exact,dense,what is a purified phytochemical,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,25,exact,dense,definition of IBR disease,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,26,exact,dense,what landform makes a u shaped valley,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,27,exact,dense,ovulation usually occurs on day _____ of a woman's cycle,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,28,exact,dense,what kind of tick has rocky mountain spotted fever,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,29,exact,dense,how long can you keep chicken salad in your fridge,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,30,exact,dense,bulimia nervosa age range,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,31,exact,dense,how much does an rn make in florida,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,32,exact,dense,who is discovered silk,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,33,exact,dense,how long does it take to boil beets,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,34,exact,dense,what is consumer capitalism,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,35,exact,dense,at what age do males hit puberty,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,36,exact,dense,how does laser measure distance,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,37,exact,dense,what is the statue of on the capitol building,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,38,exact,dense,hakan what does oil do,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,39,exact,dense,sustainability is also referred to as,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,40,exact,dense,what type of enzyme is aldolase,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,41,exact,dense,what are the two main functions of the skeletal system,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,42,exact,dense,what is gold formed in,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,43,exact,dense,lakes around michigan,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,44,exact,dense,training and qualifications needed to be a social worker,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,45,exact,dense,what is an example of a psychological need,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,46,exact,dense,how long to study lpn school,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,47,exact,dense,is the pharynx located before the mouth ?,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,48,exact,dense,why do we have different time zones,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,49,exact,dense,cyndi lauper goonies lyrics,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,50,exact,dense,where do roseate spoonbills live,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,51,exact,dense,meaning of the name darcy,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,52,exact,dense,how much is a heater core replacement,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,53,exact,dense,where is energy located in the atp molecule,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,54,exact,dense,what does TD stand for in catholic parlance,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,55,exact,dense,definition of diminution,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,56,exact,dense,what type of chemical bond has the most potential energy stored in it,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,57,exact,dense,is ginkgo biloba good for vertigo,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,58,exact,dense,how tall is a redwood tree,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,59,exact,dense,what is the meaning of the decameron,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,60,exact,dense,what is rotation,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,61,exact,dense,price to resurface rotors,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,62,exact,dense,where is popocatepetl located,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,63,exact,dense,which phase of mitosis does dna condense into chromosomes,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,64,exact,dense,what is highest fico score,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,65,exact,dense,is net interest expense the same as interest payments,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,66,exact,dense,what is the meaning of something inside so strong,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,67,exact,dense,what is the average water pressure for a home,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,68,exact,dense,how long does ground beef stay good for frozen,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,69,exact,dense,is accumulated depreciation required to be presented,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,70,exact,dense,what is parkerized finish,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,71,exact,dense,how young do babies start teething,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,72,exact,dense,types of precancerous skin cancer,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,73,exact,dense,how long to cook lamb chops in nuwave oven,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,74,exact,dense,temperature range in singapore,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,75,exact,dense,a antonym for politely,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,76,exact,dense,large platelets causes,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,77,exact,dense,what is puerperal sepsis,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,78,exact,dense,sugars definition,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,79,exact,dense,normal range for full blood count,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,80,exact,dense,where is the viaduct in seattle,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,81,exact,dense,what does blue colour signify,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,82,exact,dense,what is a urethra,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,83,exact,dense,can you truncate a table variable,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,84,exact,dense,does asda have a negative impact on the environment,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,85,exact,dense,psyllium husk fiber,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,86,exact,dense,how to keep house plants from becoming leggy,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,87,exact,dense,unit charge definition,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,88,exact,dense,immunoglobulin definition,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,89,exact,dense,what is atherosclerosis caused by,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,90,exact,dense,how long is a city block in chicago,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,91,exact,dense,where does the phrase what the dickens come from,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,92,exact,dense,how to establish salary ranges,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,93,exact,dense,salary of import and export in usa,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,94,exact,dense,cholesterol in shrimp good or bad,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,95,exact,dense,how long is a parvo vaccine good for,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,96,exact,dense,what shape is streptococcus,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,97,exact,dense,what is plasma lactate test,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,98,exact,dense,what does medium do,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,99,exact,dense,what is a nerve block in the foot,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,100,exact,dense,does carvedilol affect your libido,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,101,exact,dense,what is lean,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,102,exact,dense,how long are the longest axons in humans,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,103,exact,dense,which neuron secretes neurotransmitters in light,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,104,exact,dense,name meanings felicity,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,105,exact,dense,where is gerdau steel located,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,106,exact,dense,where can i buy nematodes,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,107,exact,dense,caesura literary definition,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,108,exact,dense,determines meaning,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,109,exact,dense,how much does pet insurance cost for cats,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,110,exact,dense,where is retroperitoneal lymph nodes,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,111,exact,dense,what temperature does a house fire reach,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,112,exact,dense,ingredients of diphtheria tetanus vaccine,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,113,exact,dense,what is a pear shaped diamond called,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,114,exact,dense,what is the bride entrance called,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,115,exact,dense,what does jitter mean,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,116,exact,dense,when did the triceratops appear in the fossil record,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,117,exact,dense,who was philip kiriakis mother on days,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,118,exact,dense,what kind of fertilizer does a oleander like?,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,119,exact,dense,major landforms of the amazon rainforest,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,120,exact,dense,what is the normal range for body fat percentage,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,121,exact,dense,what is tie dye made of,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,122,exact,dense,is ruthenium expensive,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,123,exact,dense,cat named as director of company,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,124,exact,dense,when did the masking tape come out,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,125,exact,dense,what is the name of the star called la superba,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,126,exact,dense,where is sinus located,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,127,exact,dense,what is lecithin used for in food,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,128,exact,dense,what are nerve reflexes,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,129,exact,dense,how far is the moon from planet earth,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,130,exact,dense,when did etta james start her career,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,131,exact,dense,what is brodmann areas,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,132,exact,dense,what age of children fifths disease,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,133,exact,dense,is influenza a contagious,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,134,exact,dense,symbolic archetype definition,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,135,exact,dense,what is hazus,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,136,exact,dense,How to Get Rid of Food Poisoning,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,137,exact,dense,tissue is formed from,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,138,exact,dense,how far to space watermelon plants,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,139,exact,dense,average cost to become a us citizen,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,140,exact,dense,which blood type occurs most frequently,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,141,exact,dense,what is land around australia,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,142,exact,dense,elvis sings what key,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,143,exact,dense,how fast do camellias grow,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,144,exact,dense,what causes alkalosis,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,145,exact,dense,what is cns toxicity,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,146,exact,dense,most carbon monoxide is produced by,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,147,exact,dense,how much does it cost to register a vehicle in ohio,1.0,1.0,1.0,1.0,0.2739
