query,MRR,Recall@1
how did the great depression affect germany,0.0,0.0
which rhetorical device uses examples,0.3333333333333333,0.0
what size is mercury,0.25,0.0
how to get stronger at home without weights,0.25,0.0
where is conifer colorado,1.0,1.0
when was mansa musa born,0.3333333333333333,0.0
Which of the following causes strep throat,1.0,0.5
what is lactobacillus gg,1.0,1.0
salary of president obama,1.0,1.0
surname ethnicity,0.3333333333333333,0.0
does visio require office,0.2,0.0
number of house of representatives members,0.5,0.0
how much would it cost for dog training for pups,0.5,0.0
meaning of dna,0.5,0.0
how long to cook thin sirloin steak on stove,1.0,1.0
what is an urban growth boundary,0.3333333333333333,0.0
what does argentinosaurus mean,1.0,1.0
temperature and time roast chicken,0.3333333333333333,0.0
a group of many islands is called what,1.0,1.0
average cost per watt commercial electricity,0.25,0.0
is infectious pneumonia contagious,1.0,1.0
are animal like protists heterotrophic,0.25,0.0
what is needed to make glucose in photosynthesis,0.3333333333333333,0.0
closing cost on a house estimate,1.0,1.0
how to Pair the FlatWave with a streaming device,1.0,1.0
average site visit duration,1.0,1.0
vitamin a is found in what foods,0.5,0.0
what characteristics makes australia unique,1.0,1.0
how much does invisalign usually cost,0.5,0.0
process of using dna to create rna,0.3333333333333333,0.0
what is oe car parts,0.0,0.0
what is emc testing,0.3333333333333333,0.0
what is flaxseed,1.0,1.0
why does dissolved oxygen decrease as temperature increases,1.0,1.0
what is FSH blood test,0.0,0.0
what is a gluten allergy,0.5,0.0
what is consumer capitalism,0.3333333333333333,0.0
how long will chorizo keep in the fridge,0.2,0.0
what is rhodium plate,0.3333333333333333,0.0
do dogs get ringworm,1.0,1.0
what kind of ulcers are caused by stress,0.0,0.0
what physiographic province is granite mine located?,1.0,1.0
fixed term contract employee and medical leave,1.0,1.0
how to get dust out of air ducts,0.5,0.0
what is the meaning of election,0.2,0.0
what is dipper pines real name,0.5,0.0
how much tax do you pay when a house is in probate,1.0,0.5
what is biodegrade mean,0.2,0.0
diotrephes name meaning,0.5,0.0
where is the cerebral cortex located,0.3333333333333333,0.0
how long it can take to get tax refund back,0.0,0.0
wilsonart quartz cost,1.0,1.0
what is phosphate buffer,0.3333333333333333,0.0
how long do chickens live and lay eggs,0.0,0.0
what is connectivity mapping,1.0,0.5
is celery alkaline,0.5,0.0
are there mountains in chile,0.0,0.0
what is the tallest horse,0.0,0.0
what is the currency of chad africa,0.3333333333333333,0.0
what is misdemeanor battery,0.2,0.0
what is omer,1.0,1.0
how do cats help us,0.3333333333333333,0.0
what is causing school segregation,0.0,0.0
What is the major structural difference between starch and glycogen?,0.5,0.0
what is an acronym,1.0,1.0
what is the prostate gland and what does it do,0.0,0.0
average temperature for el centro cal,0.3333333333333333,0.0
what unit of wavelength is a de broglie,0.0,0.0
what is a unicorn,0.2,0.0
how is genetic disorder inherited,0.2,0.0
what does criterion mean,0.3333333333333333,0.0
difference between return and risk,0.5,0.0
what does franchise fee mean,0.5,0.0
what are coordinately controlled genes,1.0,1.0
how long to cook shoulder of pork,1.0,1.0
at what temperature does mercury become a solid,1.0,1.0
what is a polygenic trait,0.5,0.0
which kingdom contain all unicellular organisms,0.0,0.0
where do common spider crabs live,0.25,0.0
how much it costs to make game of thrones,0.2,0.0
what is the origin of the family name falcon,0.0,0.0
what is difference between plan and program,0.5,0.0
how to freeze dandelion,1.0,1.0
which was a consequence of the watergate scandal,1.0,1.0
The structural explanation of how a muscle fiber contracts is called the,0.3333333333333333,0.0
what is pork loin,0.5,0.0
average temperature hanoi,0.5,0.0
how to oven roast brussel sprouts,0.2,0.0
where can the arctic tundra be found,0.2,0.0
what are gaba receptors for,0.2,0.0
