query_id,Query,Dataset,Failure Type,Doc in Top-5
q_ec96373b313eb89b,definition of vitamin a,ms_marco,Ranking Error,1
q_836645d4f145d36e,how long does it take to refund on a credit card,ms_marco,Semantic Miss,0
q_dd570e2f6f9970ff,what is the statue of on the capitol building,ms_marco,Semantic Miss,0
q_6117b851fe3a4246,absolute return definition,ms_marco,Ranking Error,1
q_378412e3ec9bd065,what is a depository receipt,ms_marco,Ranking Error,1
q_8e5fe566fbe99844,what is renaissance art,ms_marco,Ranking Error,1
q_05ba8fb32611a0c7,bona fide occupational qualification meaning,ms_marco,Semantic Miss,0
q_fc2cda1a43e5df81,what technology is used to detect earthquakes,ms_marco,Ranking Error,1
q_469344b49935a0d5,what does landrace mean,ms_marco,Ranking Error,1
q_a9557d5f9e0fc89d,what is tigernut,ms_marco,Ranking Error,1
q_0c07fc80612ba089,how much do pool pumps cost to run,ms_marco,Ranking Error,1
q_4ae7d3c60c66f86c,generic name for lovaza,ms_marco,Ranking Error,1
q_2e14861492c3740b,The name of the scientist who coined the term cell for smallest living term,ms_marco,Ranking Error,1
q_363c431ead40cb4d,Time off in lieu of overtime meaning,ms_marco,Semantic Miss,0
q_656789d0747c4fb0,age you can shoot at a firing range in usa,ms_marco,Ranking Error,1
q_db677a1db9caf62f,what accounting standards does the netherlands use?,ms_marco,Semantic Miss,0
q_6b214bbe2e12bb44,what does microscopic urinalysis tell you,ms_marco,Ranking Error,1
q_880c7acc86294908,"What, on the part of a teacher, can result in a decrease in student performance",squad,Ranking Error,1
q_816a7892f7541e51,what is the function of the epithelial tissue,ms_marco,Semantic Miss,0
q_7c1f2a986033285e,the constitutional convention definition,ms_marco,Ranking Error,1
q_ff893b1ea76964d4,cost to maintain a reining horse,ms_marco,Ranking Error,1
q_cb086a279418410c,what is the medication apo amitriptyline used for,ms_marco,Semantic Miss,0
q_d01ec70d31b04b69,what does lesion on kidneys mean,ms_marco,Semantic Miss,0
q_90dbbb9e695d3bf5,Another name for the primary visual cortex is,ms_marco,Ranking Error,1
q_808fcbe4b2f69ab6,bitumen temperature range,ms_marco,Ranking Error,1
q_4bf444fdf6a342ad,does a map have to be included in appendix,ms_marco,Ranking Error,1
q_c6dcf1326c0caebb,cost of dental implants in pa,ms_marco,Ranking Error,1
q_46c5f0d401fed126,where is kankerbos grown,ms_marco,Semantic Miss,0
q_c090a2df920e15fc,meaning of the name tyanna,ms_marco,Semantic Miss,0
q_d0d7c09328354088,what does the name macy mean,ms_marco,Ranking Error,1
q_7cf299428f6bfb78,is anti nausea medication safe in pregnancy,ms_marco,Ranking Error,1
q_59ea3d703a3b70a5,what kind of jobs did the anglo saxons have,ms_marco,Ranking Error,1
q_21a1c432bc19ebb5,what are the ingredients in goat milk,ms_marco,Ranking Error,1
q_0378d5dc08f1549c,what blood test is done to check for diabetes,ms_marco,Semantic Miss,0
q_618dae44f0e724b9,what is amyloplast,ms_marco,Ranking Error,1
q_e1365b8320765996,What is contained within the polar body?,ms_marco,Ranking Error,1
q_05c2cf72e5c4d02e,what degree do you need to be an energy engineer,ms_marco,Semantic Miss,0
q_f7ebd3d66ccc32df,sella turcica what is cause by,ms_marco,Ranking Error,1
q_a8b1f4b82a3af53a,asbestos removal cost estimate,ms_marco,Ranking Error,1
q_fcc335b36a4cf70d,causes for kidney stones,ms_marco,Ranking Error,1
q_d2aa754251c32903,how much to pay for drywall work,ms_marco,Semantic Miss,0
q_6c6d89a35000c989,what is snaketown,ms_marco,Ranking Error,1
q_e72228341c2c9518,what did aristotle believe earth was made of,ms_marco,Ranking Error,1
q_83cd776a89091b36,what kind of animal is a penguin,ms_marco,Ranking Error,1
q_6c016a8d3f34c681,what year did color television come out,ms_marco,Semantic Miss,0
q_afabb5e4bbae7b65,twitter do tagged people see protected tweets?,ms_marco,Semantic Miss,0
q_34ce3730ee68f8b1,derived trait definition,ms_marco,Ranking Error,1
q_7d2f43ff01283c81,where can i buy orangina,ms_marco,Ranking Error,1
q_9be93360fd111e7f,"what are NK cells, scientific name",ms_marco,Ranking Error,1
q_b83e5b44b89d69b4,what is bonito flakes,ms_marco,Semantic Miss,0
q_83f7badc75ca029f,how long to cook lamb rack,ms_marco,Semantic Miss,0
q_b2b4bd358a1e3806,do you have to have a special license to be a plumber virginia,ms_marco,Semantic Miss,0
q_c67d94ede9f53107,any penalty for transferring roth ira?,ms_marco,Ranking Error,1
q_f92673d8477081a6,manufacture uses of silicon dioxide,ms_marco,Ranking Error,1
q_6756238fedcfdeb3,what is tcci indicator,ms_marco,Ranking Error,1
q_d258c9607393fbc3,how many hours of college does it take to get an associates,ms_marco,Semantic Miss,0
q_76a5ec76391d72ec,what is a endometrial cyst,ms_marco,Ranking Error,1
q_25af8cf0f05a791e,average time for a cold sore to go away,ms_marco,Ranking Error,1
q_16a68230fce4ac98,the cells of living things are composed of a substance called protoplasm,ms_marco,Semantic Miss,0
q_510747aa15845ea8,oklahoma driver license cost,ms_marco,Ranking Error,1
q_3d2f7311684ae8a1,does eating when drunk sober you up,ms_marco,Ranking Error,1
q_51fd40affff15e2a,what is zestra,ms_marco,Ranking Error,1
q_d3444ca5d2303209,what can you use limoncello for,ms_marco,Ranking Error,1
q_54b124d5ea9e2431,what is the origin of the name cattermole?,ms_marco,Ranking Error,1
q_e803fb6e63148b2d,can naproxen cause blood in urine,ms_marco,Ranking Error,1
q_98319a7d60af2c73,what is the food like in greece,ms_marco,Ranking Error,1
q_f7fffef8ca187383,"In 2007, what was the high end of the salary range?",squad,Ranking Error,1
q_23461388ac2bdedd,is loss of hearing associated with old age,ms_marco,Semantic Miss,0
q_20c20c53729487b3,how much does a notary house call cost?,ms_marco,Semantic Miss,0
q_257fd05527388f49,cushing disease is caused by,ms_marco,Ranking Error,1
q_b8e9cc13ae0221bd,what is psychoanalytic criticism,ms_marco,Semantic Miss,0
q_59edbc10a0eb6d96,how to activate airtel roaming,ms_marco,Ranking Error,1
q_42a8c3ac28b89334,what is cbd good for,ms_marco,Semantic Miss,0
q_297a47d76967eea9,what is normal urine output per hour,ms_marco,Ranking Error,1
q_56abbaea6e81ff2b,what is hypoglycemia mean,ms_marco,Ranking Error,1
q_41597f622b63f8cc,where is oregon located,ms_marco,Ranking Error,1
q_588ab2422ba6f2f2,how much does average engagement ring cost,ms_marco,Ranking Error,1
q_efcbcae82d204a0c,what type of lava comes out of a cinder cone volcano,ms_marco,Ranking Error,1
q_3acbb4cd019cf6b7,what is the average time to cook a pork chops,ms_marco,Ranking Error,1
q_b41538bc278c795c,when was nike founded and by whom,ms_marco,Ranking Error,1
q_4241d7486cdd51b5,how was the first pacemaker made,ms_marco,Semantic Miss,0
q_af54813fedab85ce,does texas require boiler inspections?,ms_marco,Ranking Error,1
q_2791cd7ec60f098e,what apps can i chromecast,ms_marco,Semantic Miss,0
q_4031ee7fb40161d5,what is a tawse,ms_marco,Semantic Miss,0
q_b1aaeb4cfde07392,nitrofurantoin dosage and duration for uti,ms_marco,Ranking Error,1
q_207c08155b8e8f78,what are corals made of,ms_marco,Ranking Error,1
q_71a47eb481650fe0,What kind of phenotype results in a case of incomplete dominance?,sciq,Semantic Miss,0
q_df65cf5a85c04619,statistics on adopting a pet rather than buying,ms_marco,Ranking Error,1
q_bc42640cb333818c,what is the structure of hemoglobin,ms_marco,Ranking Error,1
q_f55e00194cd839e6,what is megahertz a measurement of,ms_marco,Ranking Error,1
