dataset,query_idx,query,system,recall@1,recall@3,recall@5,mrr,latency_ms,retrieved,relevant
CodeSearchNet,0,Extracts video ID from URL.,dense,0.0,1.0,1.0,0.5,2.8596,27|0|15|26|3,0
CodeSearchNet,1,"str->list
    Convert XML to URL List.
    From Biligrab.",dense,1.0,1.0,1.0,1.0,2.8596,1|472|656|13|25,1
CodeSearchNet,2,"From http://cdn37.atwikiimg.com/sitescript/pub/dksitescript/FC2.site.js
    Also com.hps.util.fc2.FC2EncrptUtil.makeMimi",dense,1.0,1.0,1.0,1.0,2.8596,2|965|1884|806|1816,2
CodeSearchNet,3,wrapper,dense,0.0,0.0,0.0,0.0,2.8596,1968|1189|1820|1821|1307,3
CodeSearchNet,4,Downloads Dailymotion videos by URL.,dense,1.0,1.0,1.0,1.0,2.8596,4|27|8|51|3,4
CodeSearchNet,5,http://stackoverflow.com/a/30923963/2946714,dense,0.0,0.0,0.0,0.0,2.8596,568|6|7|9|863,5
CodeSearchNet,6,video page,dense,0.0,0.0,0.0,0.0,2.8596,26|24|15|27|10,6
CodeSearchNet,7,course page,dense,1.0,1.0,1.0,1.0,2.8596,7|6|49|876|1777,7
CodeSearchNet,8,"Downloads a Sina video by its unique vid.
    http://video.sina.com.cn/",dense,1.0,1.0,1.0,1.0,2.8596,8|34|9|10|27,8
CodeSearchNet,9,"Downloads a Sina video by its unique vkey.
    http://video.sina.com/",dense,1.0,1.0,1.0,1.0,2.8596,9|8|34|10|51,9
CodeSearchNet,10,Downloads Sina videos by URL.,dense,0.0,0.0,1.0,0.25,2.8596,8|34|9|10|51,10
CodeSearchNet,11,wrapper,dense,0.0,0.0,0.0,0.0,2.8596,1968|1189|1820|1821|1307,11
CodeSearchNet,12,Get item_id,dense,0.0,0.0,1.0,0.2,2.8596,291|48|290|630|12,12
CodeSearchNet,13,Source: Android mobile,dense,0.0,1.0,1.0,0.3333333333333333,2.8596,46|47|13|697|21,13
CodeSearchNet,14,"self, str->None
        
        Keyword arguments:
        self: self
        vid: The video ID for BokeCC cloud, somet",dense,1.0,1.0,1.0,1.0,2.8596,14|642|641|8|25,14
CodeSearchNet,15,Extracts video ID from live.qq.com.,dense,1.0,1.0,1.0,1.0,2.8596,15|27|51|8|47,15
CodeSearchNet,16,Format text with color or other effects into ANSI escaped string.,dense,1.0,1.0,1.0,1.0,2.8596,16|578|17|1886|1967,16
CodeSearchNet,17,Print a log message to standard error.,dense,1.0,1.0,1.0,1.0,2.8596,17|18|19|171|132,17
CodeSearchNet,18,Print an error log message.,dense,1.0,1.0,1.0,1.0,2.8596,18|19|17|171|132,18
CodeSearchNet,19,What a Terrible Failure!,dense,0.0,1.0,1.0,0.5,2.8596,348|19|1556|1883|739,19
CodeSearchNet,20,Detect operating system.,dense,1.0,1.0,1.0,1.0,2.8596,20|717|19|191|192,20
CodeSearchNet,21,Source: Android mobile,dense,0.0,0.0,1.0,0.2,2.8596,46|47|13|697|21,21
CodeSearchNet,22,str->None,dense,0.0,0.0,0.0,0.0,2.8596,1875|1967|215|112|18,22
CodeSearchNet,23,str/int->None,dense,0.0,0.0,0.0,0.0,2.8596,112|1875|1333|1940|1334,23
