seed,query_idx,query,system,hit@5,latency_ms,retrieved_ids,gt_ids
42,0,Passwords From: pgut1@cs.aukuni.ac.nz (Peter Gutmann) Organization: Computer Sci,Vanilla RAG,1,38.8323,wf20_s4_chunk_0|ng_1471|ng_2342|wf20_d3_chunk_0|ng_1287,ng_1287
42,1,"Problems with A/ROSE Organization: CS Department, Dortmund University, Germany L",Vanilla RAG,1,23.94,ng_1971|ng_86|ng_976|ng_2069|ng_2115,ng_1971
42,2,mark@trident.datasys.swri.edu (Mark D. Collier) Organization: Southwest Research,Vanilla RAG,0,27.3381,ng_1767|ng_1379|ng_271|wf02_d3_chunk_0|ng_1309,ng_933
42,3,Re: Do we need the clipper for cheap security? Organization:,Vanilla RAG,0,20.755,ng_1355|ng_209|ng_1808|ng_40|ng_1784,ng_2276
42,4,"Subject: driver ?? Organization: Sophomore, Mechanical Engineering, Carnegie Mel",Vanilla RAG,0,22.3775,ng_823|ng_2284|ng_1829|ng_2225|ng_1904,ng_1178
42,5,"Re: Once tapped, your code is no good any more.",Vanilla RAG,0,20.6163,ng_691|ng_1507|ng_2254|ng_1137|ng_1700,ng_861
42,6,C++ and C for OS/2 Organization: The Internet Lines: 9,Vanilla RAG,1,21.2418,ng_1047|ng_447|ng_1684|ng_1752|ng_1020,ng_1047
42,7,"Pioneer Laser player Organization: Univ of Rochester, College of Engineering",Vanilla RAG,1,20.1472,ng_542|ng_52|ng_1088|ng_908|ng_1910,ng_542
42,8,Subject: Re: Adding VRAM to Quadra 800 ? Keywords: VRAM,Vanilla RAG,1,21.8146,ng_2049|ng_436|ng_458|ng_438|ng_1939,ng_2049
42,9,Re: opinions of RC2 alg. Reply-To: bontchev@fbihh.informatik.uni-hamburg.de Orga,Vanilla RAG,1,28.8897,ng_942|ng_257|ng_1660|ng_784|ng_1322,ng_784
42,10,Re: 24-bit Static color: will clients like it? Organization: Dept.,Vanilla RAG,1,21.9011,ng_1916|ng_2072|ng_256|ng_1441|ng_1229,ng_256
42,11,Re: Clipper Chip and crypto key-escrow Organization: Memex Information Systems,Vanilla RAG,0,22.7394,ng_1021|ng_21|ng_122|ng_1771|ng_509,ng_865
42,12,FOR SALE - MACINTOSH SE/30 Organization: SRL Data Lines: 26,Vanilla RAG,1,21.3727,ng_667|ng_1685|ng_860|ng_93|ng_2302,ng_667
42,13,Subject: Sound Recording for Mac Portable? Reply-To: aa341@Freenet.carleton.ca (,Vanilla RAG,1,25.9352,ng_296|ng_1414|ng_1892|ng_1437|ng_159,ng_296
42,14,"font problem.... Organization: Department of Mathematics, Queen's University at ",Vanilla RAG,1,23.8605,ng_1064|ng_2084|ng_1252|ng_241|ng_77,ng_241
42,15,Re: text of White House announcement and Q&As on clipper,Vanilla RAG,0,19.8795,ng_1331|ng_277|ng_1449|ng_1347|ng_820,ng_161
42,16,- Asleep by Night) Subject: Re: Los Angeles Freeway traffic,Vanilla RAG,1,19.5723,ng_1005|ng_2179|ng_551|ng_453|ng_2079,ng_453
42,17,"Subject: Re: Radar detector DETECTORS? Organization: Iowa State University, Ames",Vanilla RAG,1,22.3555,ng_2153|ng_292|ng_2273|ng_1688|ng_1945,ng_292
