q_idx,query,precision,redundancy,recall@5,mrr,latency_ms,is_checkpoint
0,walgreens store sales average,0.2,0.074777,1.0,0.25,7.9628,1
1,how much do bartenders make,0.0,0.161265,0.0,0.0,7.9628,0
2,what is a furuncle boil,0.2,0.21586,1.0,0.333333,7.9628,0
3,what can urinalysis detect,0.2,0.19496,1.0,0.5,7.9628,0
4,what is vitamin a used for,0.2,0.135174,1.0,1.0,7.9628,0
5,what causes genetic alterations in normal cells,0.2,0.139553,1.0,1.0,7.9628,0
6,cost to frame basement,0.2,0.106928,1.0,1.0,7.9628,0
7,erudite divergent definition,0.2,0.124515,1.0,0.25,7.9628,0
8,why is albumin normally absent in urine,0.2,0.39349,1.0,0.333333,7.9628,0
9,where was movie the birds filmed,0.0,0.164572,0.0,0.0,7.9628,0
10,cost to file bankruptcy in virginia,0.2,0.205755,1.0,0.25,7.9628,0
11,what is a hummingbird moth,0.2,0.131576,1.0,1.0,7.9628,0
12,what does a western blot detect,0.2,0.151485,1.0,0.5,7.9628,0
13,what is vegetable bouillon,0.2,0.137889,1.0,1.0,7.9628,0
14,salary sacrifice super limits,0.0,0.226778,0.0,0.0,7.9628,0
15,want is tom cruise doing now,0.2,0.151705,1.0,1.0,7.9628,0
16,what means irie,0.2,0.223077,1.0,1.0,7.9628,0
17,what is baseball twine made of,0.2,0.201704,1.0,1.0,7.9628,0
18,What Does Lop means,0.4,0.106625,1.0,1.0,7.9628,0
19,how much do tuna fishers first mates make,0.2,0.09417,1.0,0.333333,7.9628,0
20,how to start gypsophila elegans seeds,0.2,0.27749,1.0,1.0,7.9628,0
21,how long to get masters degree,0.2,0.168838,1.0,0.5,7.9628,0
22,what is treatment for jaundice,0.2,0.161849,1.0,1.0,7.9628,0
23,replacing permanent resident card canada,0.2,0.209477,1.0,0.2,7.9628,0
24,what is a purified phytochemical,0.2,0.114867,1.0,0.333333,7.9628,0
25,definition of IBR disease,0.2,0.122441,1.0,0.5,7.9628,0
26,what landform makes a u shaped valley,0.2,0.213383,1.0,1.0,7.9628,0
27,ovulation usually occurs on day _____ of a woman's cycle,0.2,0.187595,1.0,0.5,7.9628,0
28,what kind of tick has rocky mountain spotted fever,0.2,0.156427,1.0,1.0,7.9628,0
29,how long can you keep chicken salad in your fridge,0.2,0.226615,1.0,1.0,7.9628,0
30,bulimia nervosa age range,0.2,0.148102,1.0,1.0,7.9628,0
31,how much does an rn make in florida,0.2,0.274055,1.0,0.333333,7.9628,0
32,who is discovered silk,0.2,0.190313,1.0,0.5,7.9628,0
33,how long does it take to boil beets,0.2,0.171712,1.0,1.0,7.9628,0
34,what is consumer capitalism,0.2,0.148282,1.0,0.25,7.9628,0
35,at what age do males hit puberty,0.2,0.170187,1.0,0.333333,7.9628,0
36,how does laser measure distance,0.0,0.097758,0.0,0.0,7.9628,0
