query,oracle_alpha,best_ndcg,ndcg_at_alpha1,curve_range,n_argmax_ties
)what was the immediate impact of the success of the manhattan project?,0.6,1.0,0.6309297535714575,0.36907024642854247,8
"_________ justice is designed to repair the harm to victim, the community and the offender caused by the offender criminal act. question 19 options:",0.7,1.0,1.0,0.6437928128919779,7
what color is amber urine,0.0,0.5,0.3333333333333333,0.16666666666666669,1
is autoimmune hepatitis a bile acid synthesis disorder,0.0,0.43067655807339306,0.3562071871080222,0.07446937096537087,11
elegxo meaning,0.0,1.0,0.5,0.5,11
how much does an average person make for tutoring,1.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,1
can you use a calculator on the compass test,0.35,1.0,1.0,0.36907024642854247,14
what does physical medicine do,0.25,0.6309297535714575,0.43067655807339306,0.6309297535714575,7
what does pending mean on listing,0.6,0.5,0.5,0.5,9
feeding rice cereal how many times per day,0.85,1.0,1.0,0.6131471927654584,4
most dependable affordable cars,0.35,1.0,0.5,0.5693234419266069,11
lithophile definition,0.0,1.0,0.6309297535714575,0.36907024642854247,1
what is a flail chest,0.0,0.5,0.38685280723454163,0.11314719276545837,9
what causes ear infection in adults,0.75,0.6309297535714575,0.6309297535714575,0.6309297535714575,6
put yourself on child support in texas,0.45,1.0,1.0,0.36907024642854247,12
mushrooms health benefits,0.9,0.38685280723454163,0.38685280723454163,0.38685280723454163,3
what happens in a wrist sprain,0.95,1.0,1.0,0.6845351232142712,2
example of culture &sensitivity results,0.35,1.0,1.0,0.6437928128919779,14
what are rhetorical topics,0.0,0.6309297535714575,0.0,0.6309297535714575,5
mode of acquisition,0.0,0.0,0.0,0.0,21
how beautiful on the mountain are the feet,0.0,0.6309297535714575,0.31546487678572877,0.31546487678572877,1
what is considered early fall,0.0,0.0,0.0,0.0,21
what causes elevated nitrate levels in aquariums,0.7,0.6309297535714575,0.6309297535714575,0.2440769463369159,7
is an independent contractor hired by a company entitled to the same non-compete as a normal employee,0.0,0.5,0.38685280723454163,0.11314719276545837,16
lyme disease symptoms mood,0.0,0.43067655807339306,0.38685280723454163,0.04382375083885143,15
